,날짜,누적확진자,일일확진자
616,20210928,305834,2288
617,20210929,308715,2881
618,20210930,311276,2561
619,20211001,313760,2484
620,20211002,316007,2247
621,20211003,318092,2085
622,20211004,319762,1670
623,20211005,321336,1574
624,20211006,323363,2027
625,20211007,325788,2425
626,20211008,327959,2171
627,20211009,329912,1953
628,20211010,331506,1594
629,20211011,332803,1297
630,20211012,334149,1346
631,20211013,335732,1583
632,20211014,337671,1939
633,20211015,339354,1683
634,20211016,340971,1617
635,20211017,342391,1420
636,20211018,343441,1050
637,20211019,344514,1073
638,20211020,346085,1571
639,20211021,347526,1441
640,20211022,348964,1438
641,20211023,350472,1508
642,20211024,351893,1421
643,20211025,353083,1190
644,20211026,354355,1272
645,20211027,356300,1945
646,20211028,358411,2111
647,20211029,360532,2121
648,20211030,362636,2104
649,20211031,364697,2061
650,20211101,366382,1685
651,20211102,367970,1588
652,20211103,370638,2668
653,20211104,373120,2482
654,20211105,375463,2343
655,20211106,377710,2247
656,20211107,379934,2224
657,20211108,381694,1760
